;Talsperre;Zeitscheibe;ensminimum;ensp25;ensmedian;ensp75;ensmaximum;ensminimum.1;ensp25.1;ensmedian.1;ensp75.1;ensmaximum.1
183;EZG: 66,84 $km^2$;2069-2098 [\%] ;-18,11;+2,33;+8,73;+14,61;+14,04;-39,04;+0,44;+10,51;+18,0;+27,2
184;Leibis-LichteTalsperre;1971-2000 [Mio. $m^3/y$] ;34,6;35,3;35,59;36,44;37,38;33,02;35,43;36,11;37,04;39,27
185;Lon: 11,17371111°;2021-2050 [\%] ;-14,0;+2,26;+4,44;+6,98;+19,59;-2,04;+1,03;+8,87;+11,44;+24,49
186;Lat: 50,60051944°;2036-2065 [\%] ;-8,08;-1,12;+2,25;+4,58;+20,45;-1,95;+1,62;+10,7;+12,87;+34,17
187;EZG: 69,06 $km^2$;2069-2098 [\%] ;-10,41;+5,07;+5,37;+7,41;+15,33;-27,66;+1,26;+12,52;+20,57;+43,17
196;Lössau-Talsperre;1971-2000 [Mio. $m^3/y$] ;18,22;18,79;19,05;19,47;20,68;17,57;18,69;18,97;19,7;21,1
197;Lon: 11,89399444°;2021-2050 [\%] ;-17,87;-0,11;+7,49;+10,81;+37,73;-2,28;+9,58;+21,02;+24,28;+39,78
198;Lat: 50,58034722°;2036-2065 [\%] ;-8,59;-2,49;+6,12;+12,27;+43,1;-2,03;+11,34;+24,89;+29,08;+55,79
199;EZG: 86,39 $km^2$;2069-2098 [\%] ;-14,98;-0,52;+8,62;+17,82;+24,43;-50,96;+5,31;+24,47;+41,36;+70,16
232;Obermaubach Staustufe;1971-2000 [Mio. $m^3/y$] ;308,6;316,74;321,36;326,15;332,97;299,71;320,86;326,0;331,67;352,75
233;Lon: 6,446597222°;2021-2050 [\%] ;-7,56;-3,35;+7,27;+8,76;+20,26;-10,1;-1,86;+4,78;+11,21;+20,54
234;Lat: 50,71521111°;2036-2065 [\%] ;-14,64;-4,44;+6,7;+9,04;+19,57;-15,99;+0,87;+4,73;+11,83;+17,8
235;EZG: 668,86 $km^2$;2069-2098 [\%] ;-10,99;-1,14;+3,81;+10,51;+17,2;-25,5;-2,43;+9,86;+15,43;+29,96
244;Oker-Talsperre;1971-2000 [Mio. $m^3/y$] ;68,25;69,05;69,49;70,5;72,86;64,96;69,41;70,37;71,33;78,1
245;Lon: 10,45831944°;2021-2050 [\%] ;-12,67;-2,07;+0,49;+6,21;+15,56;-7,2;-0,5;+4,66;+6,91;+8,27
246;Lat: 51,85068056°;2036-2065 [\%] ;-9,13;-4,27;+1,6;+4,94;+12,34;-2,68;-2,09;+4,01;+8,7;+11,15
247;EZG: 85,84 $km^2$;2069-2098 [\%] ;-6,81;-0,36;+1,11;+3,98;+9,75;-17,98;-2,71;+5,03;+12,06;+27,42
260;Radeburg I;1971-2000 [Mio. $m^3/y$] ;61,59;63,92;64,75;66,46;72,86;60,89;63,58;64,7;66,59;73,41
261;Lon: 13,74036389°;2021-2050 [\%] ;-8,93;+4,94;+15,1;+13,84;+18,13;+1,7;+14,29;+19,97;+27,5;+48,36
262;Lat: 51,21429444°;2036-2065 [\%] ;-8,85;+0,23;+8,81;+15,02;+18,77;-12,44;+19,85;+24,92;+34,39;+64,52
263;EZG: 284,03 $km^2$;2069-2098 [\%] ;-12,15;+4,82;+9,99;+24,01;+19,93;-32,74;+20,08;+30,84;+42,39;+107,56
264;Rappbode-Talsperre;1971-2000 [Mio. $m^3/y$] ;44,5;45,57;46,03;46,68;49,04;43,6;45,72;46,47;47,15;51,22
265;Lon: 10,87999596°;2021-2050 [\%] ;-11,45;+1,65;+5,8;+7,31;+27,6;-9,84;+3,0;+9,81;+13,59;+20,83
266;Lat: 51,73186515°;2036-2065 [\%] ;-14,8;+1,71;+3,99;+7,81;+22,31;-5,11;+3,06;+9,05;+17,06;+19,11
267;EZG: 112,3 $km^2$;2069-2098 [\%] ;-10,04;+6,16;+7,88;+7,55;+17,58;-20,32;+5,25;+14,57;+25,8;+39,34
268;Rauschenbach-Talsperre;1971-2000 [Mio. $m^3/y$] ;30,04;30,95;31,42;31,88;33,07;28,38;30,43;31,16;31,91;35,17
269;Lon: 13,5001°;2021-2050 [\%] ;-16,11;-2,22;+6,42;+9,32;+13,56;-4,32;+4,62;+8,33;+13,86;+11,23
270;Lat: 50,69453056°;2036-2065 [\%] ;-17,65;+1,7;+4,95;+8,75;+17,71;-12,48;+7,74;+10,09;+16,87;+17,43
271;EZG: 72,68 $km^2$;2069-2098 [\%] ;-18,49;+1,07;+6,44;+12,66;+16,42;-37,81;-2,29;+12,18;+20,41;+24,85
276;Rurtalsperre Schwammenauel;1971-2000 [Mio. $m^3/y$] ;253,29;259,74;263,19;267,13;273,69;246,11;262,98;266,64;272,16;290,95
277;Lon: 6,440038889°;2021-2050 [\%] ;-7,88;-3,74;+6,96;+8,87;+19,57;-10,46;-1,88;+4,83;+10,5;+19,71
278;Lat: 50,63682222°;2036-2065 [\%] ;-14,9;-5,02;+6,52;+9,0;+18,6;-16,28;+1,12;+4,98;+11,19;+18,2
279;EZG: 535,15 $km^2$;2069-2098 [\%] ;-10,84;-1,11;+3,82;+10,1;+16,42;-25,11;-1,8;+9,31;+14,91;+30,23
312;Sorpesee-Talsperre;1971-2000 [Mio. $m^3/y$] ;30,17;30,66;30,97;31,23;32,53;28,67;30,84;31,54;31,88;33,13
313;Lon: 7,967472222°;2021-2050 [\%] ;-9,84;-2,98;+3,79;+8,66;+14,55;-8,64;-0,66;+6,33;+10,52;+18,66
314;Lat: 51,3509°;2036-2065 [\%] ;-15,0;-3,2;+0,96;+6,31;+14,31;-7,0;-0,77;+5,1;+10,59;+25,0
315;EZG: 52,86 $km^2$;2069-2098 [\%] ;-8,52;-0,79;+1,03;+5,7;+10,25;-15,23;-3,69;+7,65;+15,41;+38,27
324;Söse-Talsperre;1971-2000 [Mio. $m^3/y$] ;42,48;42,98;43,55;43,75;45,1;40,18;43,13;43,62;44,22;48,63
325;Lon: 10,31155278°;2021-2050 [\%] ;-14,34;-4,05;+0,91;+5,71;+15,26;-6,36;-0,97;+4,45;+7,91;+8,1
326;Lat: 51,73869167°;2036-2065 [\%] ;-10,96;-5,52;-0,36;+4,58;+12,71;-5,52;-2,41;+4,63;+9,79;+15,22
327;EZG: 52,33 $km^2$;2069-2098 [\%] ;-9,74;-3,46;-0,95;+2,82;+6,43;-20,82;-3,86;+10,29;+15,09;+36,29
336;Tambach-Dietharz-Talsperre;1971-2000 [Mio. $m^3/y$] ;34,11;34,45;34,76;35,41;37,17;31,78;34,63;35,43;36,03;37,71
337;Lon: 10,62191111°;2021-2050 [\%] ;-15,72;-1,74;+4,2;+5,82;+11,83;-2,07;+1,17;+4,95;+8,66;+25,76
338;Lat: 50,78712222°;2036-2065 [\%] ;-10,6;-2,7;+1,15;+2,12;+12,79;-7,34;-1,28;+5,63;+11,97;+29,59
339;EZG: 59,19 $km^2$;2069-2098 [\%] ;-7,21;-0,07;+3,4;+5,72;+9,48;-21,66;-4,02;+5,49;+16,04;+41,7
352;Wahnbach-Talsperre;1971-2000 [Mio. $m^3/y$] ;36,39;37,32;37,64;37,82;39,06;35,02;37,27;37,9;38,78;40,49
353;Lon: 7,284747222°;2021-2050 [\%] ;-9,86;-3,3;+2,97;+11,17;+13,61;-7,13;+2,49;+7,6;+11,38;+31,07
354;Lat: 50,804975°;2036-2065 [\%] ;-12,62;+0,79;+2,8;+7,57;+12,74;-5,46;+3,42;+8,59;+11,27;+47,19
355;EZG: 72,38 $km^2$;2069-2098 [\%] ;-9,67;-5,01;+4,19;+7,49;+14,7;-14,64;+0,26;+13,03;+23,3;+89,59
360;Weida-Talsperre;1971-2000 [Mio. $m^3/y$] ;24,91;25,27;26,31;27,01;29,26;23,56;25,32;25,89;27,42;30,51
361;Lon: 11,99395556°;2021-2050 [\%] ;-17,38;+2,8;+7,76;+10,22;+38,82;+0,3;+15,81;+27,19;+30,27;+47,05
362;Lat: 50,70565278°;2036-2065 [\%] ;-5,24;+0,07;+5,18;+16,7;+45,08;+1,37;+17,01;+33,32;+35,37;+66,78
363;EZG: 166,61 $km^2$;2069-2098 [\%] ;-18,93;+5,77;+10,73;+21,25;+25,72;-46,9;+14,26;+34,99;+51,02;+93,24
376;Zeulenrodaer-Talsperre;1971-2000 [Mio. $m^3/y$] ;21,49;21,75;22,63;23,22;25,14;20,24;21,77;22,24;23,51;26,1
377;Lon: 11,97593056°;2021-2050 [\%] ;-17,38;+2,67;+7,37;+9,66;+38,32;+1,6;+14,38;+26,68;+30,51;+45,95
378;Lat: 50,66995833°;2036-2065 [\%] ;-5,85;-0,16;+5,13;+16,25;+44,61;+2,35;+16,51;+32,58;+35,12;+65,23
379;EZG: 139,83 $km^2$;2069-2098 [\%] ;-19,47;+5,45;+10,67;+21,37;+25,21;-47,48;+13,56;+34,55;+50,54;+90,38
